"","Z"
"2049",4.193
"2054",3.983
"2055",4.087
"2056",3.636
"2057",1.447
"2058",1.263
"2059",3.765
"2060",3.735
"2061",3.926
"2062",3.691
"2063",3.857
"2064",4.414
"2065",4.509
"2066",1.235
"2067",2.779
"2068",4.152
"2069",4.123
"2070",2.211
"2071",1.839
"2072",2.542
"2073",0.747
"2074",2.734
"2075",4.108
"2076",3.628
"2077",1.764
"2078",2.996
"2079",3.236
"2080",2.453
"2081",3.063
"2082",4.324
"2083",5.005
"2084",5.371
"2085",5.56
"2086",4.264
"2087",4.233
"2088",3.405
"2089",3.276
"2090",4.234
"2091",3.779
"2092",4.042
"2093",4.12
"2094",4.508
"2095",4.232
"2096",4.772
"2097",4.87
"2098",4.494
"2099",4.628
"2100",4.863
"2101",4.676
"2102",4.025
"2103",4.135
"2104",4.374
"2105",4.272
"2106",4.124
"2107",4.84
"2108",5.026
"2109",4.125
"2110",3.44
"2111",3.778
"2112",4.795
"2113",4.276
"2114",4.181
"2115",3.835
"2116",4.444
"2117",4.267
"2118",4.842
"2119",4.883
"2120",4.883
"2121",4.917
"2122",4.385
"2123",3.239
"2124",3.29
"2125",3.522
"2126",4.116
"2127",4.563
"2128",4.662
"2129",4.445
"2130",1.144
"2131",4.395
"2136",3.865
"2137",3.355
"2138",3.25
"2139",2.812
"2140",2.505
"2141",3.183
"2142",3.886
"2143",4.241
"2144",4.163
"2145",4.689
"2146",4.781
"2147",2.36
"2148",0.033
"2149",1.144
"2150",2.874
"2151",3.382
"2152",4.122
"2153",3.961
"2154",3.948
"2155",0.84
"2156",2.571
"2157",3.319
"2158",3.867
"2159",2.014
"2160",1.372
"2161",3.282
"2162",2.829
"2163",3.248
"2164",4.515
"2165",5.076
"2166",5.396
"2167",5.705
"2168",5.283
"2169",4.476
"2170",3.646
"2171",3.464
"2172",3.803
"2173",4.252
"2174",4.641
"2175",4.772
"2176",3.914
"2177",3.648
"2178",4.239
"2179",4.668
"2180",4.666
"2181",4.708
"2182",4.338
"2183",3.836
"2184",3.677
"2185",3.604
"2186",3.987
"2187",4.128
"2188",4.117
"2189",4.735
"2190",4.949
"2191",3.754
"2192",3.646
"2193",3.964
"2194",4.519
"2195",4.242
"2196",4.273
"2197",4.386
"2198",4.312
"2199",3.679
"2200",4.745
"2201",4.94
"2202",4.639
"2203",4.726
"2204",3.855
"2205",3.556
"2206",3.634
"2207",3.629
"2208",3.918
"2209",4.723
"2210",5.105
"2211",4.705
"2212",4.889
"2213",4.366
"2218",3.869
"2219",2.265
"2220",3.091
"2221",0.874
"2222",3.358
"2223",3.276
"2224",4.214
"2225",4.301
"2226",4.159
"2227",4.547
"2228",1.757
"2229",3.98
"2230",0.831
"2231",0.156
"2232",1.557
"2233",3.321
"2234",3.44
"2235",1.859
"2236",3.403
"2237",0.449
"2238",3.336
"2239",2.448
"2240",3.043
"2241",3.031
"2242",3.924
"2243",3.718
"2244",3.556
"2245",3.012
"2246",4.04
"2247",4.869
"2248",5.339
"2249",1.245
"2250",3.817
"2251",4.433
"2252",4.475
"2253",3.783
"2254",3.976
"2255",2.26
"2256",3.73
"2257",4.482
"2258",4.375
"2259",1.307
"2260",3.477
"2261",3.415
"2262",4.486
"2263",4.568
"2264",3.856
"2265",4.337
"2266",3.721
"2267",3.87
"2268",4.355
"2269",4.527
"2270",3.934
"2271",3.994
"2272",4.171
"2273",4.125
"2274",4.296
"2275",3.922
"2276",4.43
"2277",4.914
"2278",5.029
"2279",5
"2280",5.117
"2281",5.154
"2282",5.076
"2283",4.066
"2284",4.253
"2285",4.745
"2286",4.368
"2287",4.806
"2288",4.098
"2289",4.436
"2290",4.154
"2291",3.744
"2292",4.323
"2293",4.151
"2294",4.497
"2295",4.367
"2300",3.974
"2301",2.001
"2302",3.976
"2303",4.233
"2304",4.494
"2305",3.579
"2306",3.698
"2307",3.8
"2308",3.568
"2309",4.327
"2310",3.733
"2311",0.856
"2312",2.61
"2313",1.473
"2314",0.736
"2315",2.749
"2316",3.666
"2317",2.392
"2318",3.792
"2319",0.891
"2320",3.708
"2321",3.29
"2322",2.848
"2323",3.767
"2324",3.917
"2325",3.997
"2326",4.176
"2327",4.266
"2328",3.313
"2329",3.65
"2330",4.581
"2331",5.133
"2332",4.401
"2333",4.363
"2334",4.407
"2335",4.414
"2336",4.337
"2337",1.22
"2338",3.564
"2339",4.671
"2340",4.916
"2341",1.79
"2342",2.451
"2343",2.873
"2344",3.45
"2345",3.922
"2346",4.343
"2347",4.856
"2348",4.418
"2349",4.185
"2350",4.288
"2351",4.087
"2352",4.216
"2353",4.216
"2354",4.704
"2355",4.398
"2356",4.724
"2357",4.19
"2358",4.466
"2359",4.673
"2360",4.833
"2361",4.414
"2362",4.88
"2363",4.975
"2364",4.355
"2365",3.861
"2366",4.394
"2367",5.254
"2368",5.058
"2369",5.45
"2370",5.327
"2371",5.056
"2372",3.948
"2373",3.744
"2374",3.104
"2375",1.648
"2376",4.761
"2377",4.728
"2382",4.021
"2383",2.612
"2384",3.858
"2385",1.816
"2386",3.969
"2387",4.22
"2388",3.645
"2389",3.348
"2390",3.441
"2391",4.082
"2392",4.454
"2393",4.332
"2394",4.092
"2395",3.143
"2396",1.062
"2397",0.949
"2398",3.243
"2399",4.173
"2400",4.17
"2401",3.235
"2402",3.58
"2403",3.513
"2404",3.446
"2405",3.477
"2406",3.583
"2407",3.753
"2408",3.924
"2409",4.742
"2410",3.088
"2411",1.624
"2412",3.07
"2413",4.76
"2414",4.545
"2415",4.489
"2416",4.386
"2417",3.774
"2418",3.653
"2419",4.15
"2420",5.063
"2421",4.902
"2422",5.096
"2423",4.782
"2424",4.199
"2425",3.117
"2426",2.963
"2427",3.844
"2428",4.417
"2429",4.622
"2430",4.284
"2431",4.546
"2432",4.063
"2433",3.439
"2434",4.248
"2435",4.446
"2436",4.703
"2437",4.511
"2438",4.597
"2439",4.653
"2440",4.805
"2441",4.748
"2442",4.365
"2443",4.366
"2444",4.764
"2445",4.162
"2446",3.932
"2447",3.681
"2448",3.604
"2449",4.492
"2450",4.585
"2451",5.211
"2452",5.104
"2453",4.889
"2454",4.476
"2455",3.846
"2456",3.607
"2457",4.471
"2458",5.09
"2459",5.201
"2464",3.679
"2465",3.363
"2466",4.145
"2467",4.188
"2468",1.417
"2469",3.738
"2470",3.331
"2471",3.257
"2472",3.535
"2473",2.884
"2474",2.002
"2475",4.247
"2476",4.347
"2477",3.264
"2478",1.457
"2479",0.122
"2480",2.402
"2481",2.376
"2482",3.744
"2483",3.491
"2484",3.972
"2485",3.879
"2486",3.852
"2487",3.807
"2488",3.654
"2489",3.488
"2490",3.884
"2491",4.978
"2492",4.179
"2493",1.205
"2494",2.006
"2495",3.98
"2496",4.686
"2497",4.599
"2498",4.689
"2499",4.396
"2500",3.756
"2501",3.837
"2502",4.57
"2503",4.746
"2504",4.495
"2505",4.806
"2506",4.686
"2507",2.962
"2508",3.136
"2509",3.782
"2510",4.394
"2511",5.075
"2512",5.086
"2513",4.724
"2514",4.028
"2515",2.512
"2516",2.696
"2517",4.612
"2518",4.689
"2519",4.51
"2520",4.738
"2521",1.81
"2522",4.313
"2523",4.642
"2524",4.08
"2525",4.287
"2526",4.301
"2527",3.566
"2528",4.487
"2529",3.756
"2530",3.457
"2531",4.126
"2532",4.381
"2533",5.107
"2534",4.78
"2535",4.971
"2536",4.588
"2537",3.953
"2538",4.798
"2539",4.491
"2540",4.574
"2541",5.056
"2546",3.336
"2547",2.625
"2548",3.359
"2549",4.204
"2550",3.961
"2551",3.192
"2552",3.462
"2553",3.555
"2554",3.907
"2555",4.254
"2556",4.147
"2557",2.908
"2558",4.109
"2559",0.178
"2560",1.545
"2561",1.119
"2562",0.629
"2563",0.075
"2564",0.304
"2565",4.307
"2566",4.463
"2567",4.082
"2568",3.125
"2569",4.264
"2570",3.968
"2571",3.91
"2572",4.097
"2573",4.344
"2574",2.589
"2575",1.743
"2576",2.734
"2577",4.183
"2578",4.647
"2579",0.93
"2580",4.589
"2581",4.707
"2582",4.689
"2583",4.479
"2584",4.347
"2585",3.997
"2586",4.797
"2587",4.927
"2588",4.563
"2589",3.992
"2590",3.826
"2591",4.313
"2592",4.025
"2593",4.53
"2594",4.234
"2595",4.641
"2596",4.091
"2597",3.608
"2598",4.048
"2599",4.596
"2600",4.636
"2601",4.695
"2602",4.658
"2603",3.182
"2604",3.569
"2605",0.796
"2606",3.168
"2607",3.021
"2608",3.754
"2609",4.508
"2610",4.517
"2611",4.124
"2612",4.524
"2613",4.915
"2614",4.187
"2615",3.977
"2616",3.925
"2617",4.7
"2618",4.635
"2619",4.245
"2620",4.773
"2621",5.286
"2622",5.36
"2623",5.187
"2628",3.087
"2629",2.645
"2630",1.437
"2631",2.961
"2632",2.97
"2633",2.966
"2634",3.549
"2635",3.879
"2636",4.081
"2637",4.187
"2638",4.042
"2639",1.444
"2640",4.045
"2641",3.548
"2642",3.53
"2643",2.194
"2644",0.952
"2645",0.542
"2646",1.481
"2647",2.932
"2648",4.646
"2649",4.303
"2650",3.393
"2651",4.035
"2652",3.613
"2653",4.149
"2654",4.237
"2655",4.554
"2656",3.667
"2657",3.542
"2658",2.79
"2659",4.764
"2660",4.722
"2661",4.786
"2662",4.609
"2663",4.693
"2664",4.91
"2665",3.629
"2666",3.926
"2667",3.088
"2668",3.975
"2669",4.647
"2670",4.863
"2671",4.792
"2672",4.305
"2673",3.973
"2674",2.916
"2675",3.573
"2676",3.115
"2677",3.469
"2678",3.609
"2679",4.139
"2680",4.43
"2681",3.985
"2682",4.133
"2683",4.625
"2684",4.805
"2685",4.605
"2686",4.196
"2687",3.029
"2688",2.392
"2689",2.801
"2690",3.508
"2691",4.079
"2692",4.034
"2693",4.416
"2694",5.023
"2695",4.674
"2696",3.401
"2697",3.081
"2698",3.188
"2699",4.453
"2700",5.294
"2701",4.613
"2702",4.641
"2703",5.128
"2704",5.543
"2705",5.543
"2710",2.992
"2711",3.475
"2712",0.32
"2713",1.07
"2714",3.084
"2715",3.918
"2716",4.282
"2717",4.31
"2718",4.476
"2719",3.983
"2720",3.47
"2721",3.255
"2722",3.813
"2723",4.408
"2724",0.586
"2725",3.538
"2726",2.624
"2727",2.142
"2728",4.499
"2729",4.492
"2730",4.782
"2731",5.179
"2732",3.806
"2733",3.518
"2734",2.751
"2735",2.446
"2736",3.618
"2737",4.368
"2738",4.442
"2739",4.81
"2740",5.162
"2741",4.776
"2742",4.458
"2743",4.634
"2744",4.586
"2745",4.902
"2746",4.715
"2747",3.531
"2748",3.749
"2749",4.063
"2750",4.107
"2751",4.553
"2752",4.665
"2753",4.583
"2754",3.793
"2755",3.483
"2756",2.679
"2757",2.664
"2758",2.819
"2759",3.907
"2760",4.598
"2761",3.381
"2762",0.8
"2763",4.092
"2764",4.068
"2765",3.992
"2766",3.779
"2767",4.447
"2768",3.904
"2769",3.952
"2770",3.949
"2771",3.81
"2772",3.894
"2773",4.299
"2774",4.953
"2775",4.858
"2776",5.006
"2777",4.548
"2778",3.749
"2779",3.546
"2780",3.45
"2781",4.467
"2782",5.129
"2783",2.147
"2784",4.957
"2785",5.433
"2786",5.215
"2787",4.578
"2792",2.896
"2793",2.115
"2794",0.024
"2795",1.594
"2796",2.63
"2797",3.604
"2798",4.237
"2799",4.231
"2800",4.184
"2801",3.28
"2802",2.821
"2803",2.786
"2804",3.018
"2805",4.608
"2806",3.869
"2807",5.409
"2808",4.295
"2809",4.459
"2810",1.294
"2811",4.393
"2812",4.942
"2813",4.686
"2814",4.134
"2815",3.493
"2816",2.213
"2817",0.554
"2818",2.775
"2819",4.022
"2820",4.063
"2821",4.839
"2822",5.498
"2823",5.148
"2824",3.692
"2825",3.057
"2826",2.923
"2827",4.333
"2828",4.715
"2829",4.785
"2830",4.682
"2831",4.307
"2832",3.88
"2833",4.076
"2834",4.53
"2835",4.665
"2836",3.611
"2837",3.508
"2838",2.941
"2839",2.115
"2840",3.225
"2841",4.604
"2842",4.542
"2843",4.768
"2844",4.218
"2845",4.049
"2846",4.152
"2847",3.964
"2848",3.476
"2849",3.82
"2850",2.513
"2851",0.854
"2852",4.526
"2853",4.253
"2854",3.975
"2855",4.14
"2856",4.723
"2857",4.818
"2858",4.885
"2859",4.67
"2860",3.5
"2861",3.866
"2862",4.094
"2863",4.692
"2864",5.08
"2865",4.093
"2866",5.007
"2867",5.272
"2868",4.832
"2869",4.365
"2874",2.801
"2875",1.107
"2876",1.086
"2877",0.565
"2878",0.631
"2879",2.392
"2880",4.097
"2881",4.245
"2882",3.756
"2883",3.519
"2884",3.243
"2885",2.713
"2886",2.581
"2887",4.72
"2888",5.188
"2889",5.647
"2890",5.151
"2891",5.265
"2892",4.868
"2893",4.58
"2894",4.821
"2895",4.05
"2896",3.904
"2897",3.758
"2898",2.474
"2899",2.797
"2900",2.544
"2901",3.795
"2902",4.107
"2903",5.123
"2904",4.903
"2905",3.282
"2906",0.262
"2907",3.144
"2908",3.424
"2909",4.19
"2910",4.887
"2911",5.056
"2912",4.866
"2913",4.595
"2914",4.097
"2915",3.656
"2916",3.76
"2917",3.549
"2918",3.379
"2919",3.465
"2920",4.192
"2921",3.283
"2922",3.094
"2923",4.125
"2924",4.251
"2925",1.498
"2926",4.464
"2927",4.148
"2928",3.946
"2929",3.42
"2930",2.998
"2931",3.61
"2932",4.245
"2933",4.417
"2934",4.663
"2935",4.873
"2936",1.307
"2937",2.964
"2938",4.34
"2939",4.578
"2940",3.958
"2941",4.239
"2942",4.658
"2943",4.684
"2944",4.412
"2945",3.949
"2946",4.776
"2947",5.209
"2948",4.68
"2949",4.453
"2950",4.704
"2951",4.092
"2956",3.13
"2957",4.631
"2958",4.331
"2959",3.91
"2960",1.947
"2961",3.333
"2962",4.263
"2963",4.494
"2964",4.182
"2965",3.041
"2966",3.488
"2967",2.961
"2968",2.399
"2969",4.378
"2970",4.933
"2971",4.596
"2972",0.919
"2973",4.99
"2974",3.751
"2975",0.924
"2976",2.323
"2977",4.141
"2978",4.258
"2979",4.592
"2980",4.567
"2981",4.277
"2982",3.619
"2983",3.415
"2984",4.44
"2985",5.071
"2986",4.61
"2987",2.338
"2988",2.046
"2989",4.207
"2990",3.867
"2991",4.361
"2992",4.458
"2993",4.928
"2994",4.524
"2995",4.307
"2996",3.77
"2997",2.369
"2998",3.228
"2999",3.385
"3000",3.628
"3001",4.022
"3002",4.391
"3003",4.004
"3004",1.382
"3005",3.53
"3006",2.226
"3007",2.476
"3008",4.465
"3009",4.498
"3010",4.206
"3011",3.859
"3012",3.878
"3013",4.202
"3014",4.763
"3015",5.084
"3016",2.731
"3017",1.209
"3018",2.509
"3019",2.263
"3020",3.398
"3021",4.602
"3022",4.482
"3023",4.481
"3024",4.706
"3025",4.941
"3026",4.862
"3027",4.113
"3028",4.295
"3029",4.89
"3030",4.689
"3031",4.579
"3032",4.659
"3033",4.058
"3038",3.553
"3039",4.537
"3040",4.835
"3041",4.329
"3042",3.666
"3043",3.338
"3044",4.275
"3045",3.835
"3046",3.772
"3047",3.844
"3048",3.832
"3049",3.417
"3050",2.601
"3051",2.804
"3052",4.447
"3053",5.318
"3054",4.18
"3055",4.932
"3056",4.66
"3057",3.168
"3058",0.025
"3059",1.532
"3060",4.036
"3061",4.75
"3062",5.175
"3063",4.822
"3064",4.443
"3065",3.896
"3066",4.281
"3067",4.486
"3068",4.631
"3069",4.702
"3070",3.691
"3071",4.856
"3072",3.959
"3073",4.468
"3074",4.481
"3075",4.935
"3076",4.807
"3077",3.438
"3078",2.488
"3079",1.858
"3080",2.488
"3081",2.953
"3082",4.072
"3083",4.357
"3084",4.063
"3085",4.366
"3086",3.739
"3087",3.513
"3088",2.311
"3089",3.424
"3090",2.521
"3091",4.494
"3092",4.247
"3093",4.283
"3094",3.809
"3095",3.775
"3096",4.481
"3097",5.069
"3098",4.968
"3099",3.431
"3100",3.488
"3101",2.726
"3102",4.031
"3103",4.928
"3104",4.904
"3105",5.035
"3106",5.089
"3107",5.082
"3108",4.866
"3109",4.203
"3110",3.136
"3111",3.948
"3112",4.813
"3113",4.576
"3114",5.139
"3115",5.022
"3120",3.674
"3121",4.182
"3122",4.618
"3123",4.502
"3124",3.683
"3125",2.967
"3126",1.851
"3127",2.575
"3128",3.53
"3129",5.047
"3130",4.641
"3131",4.28
"3132",3.469
"3133",4.149
"3134",5.15
"3135",4.571
"3136",4.363
"3137",4.152
"3138",4.292
"3139",3.256
"3140",1.011
"3141",0.696
"3142",3.817
"3143",4.672
"3144",2.94
"3145",1.692
"3146",3.761
"3147",4.115
"3148",3.977
"3149",4.495
"3150",4.488
"3151",4.764
"3152",5.179
"3153",4.57
"3154",4.172
"3155",4.405
"3156",4.107
"3157",4.654
"3158",3.893
"3159",3.235
"3160",2.576
"3161",2.825
"3162",2.341
"3163",2.639
"3164",4.104
"3165",4.48
"3166",4.372
"3167",4.65
"3168",4.191
"3169",3.668
"3170",3.251
"3171",3.844
"3172",4.22
"3173",4.818
"3174",4.975
"3175",4.423
"3176",4.29
"3177",3.889
"3178",3.55
"3179",3.951
"3180",4.399
"3181",4.554
"3182",3.854
"3183",3.663
"3184",4.696
"3185",4.702
"3186",4.586
"3187",4.463
"3188",4.645
"3189",5.089
"3190",4.815
"3191",4.133
"3192",3.209
"3193",3.848
"3194",5.073
"3195",5.158
"3196",5.46
"3197",5.243
"3202",3.668
"3203",4.078
"3204",4.236
"3205",4.247
"3206",3.92
"3207",3.073
"3208",1.73
"3209",2.559
"3210",4.56
"3211",5.557
"3212",4.923
"3213",4.814
"3214",4.35
"3215",4.01
"3216",3.449
"3217",3.069
"3218",3.95
"3219",1.383
"3220",4.044
"3221",4.321
"3222",1.439
"3223",3.146
"3224",3.845
"3225",4.835
"3226",4.973
"3227",3.775
"3228",4.05
"3229",4.027
"3230",2.151
"3231",2.567
"3232",4.633
"3233",4.864
"3234",5.292
"3235",4.744
"3236",4.586
"3237",4.677
"3238",3.736
"3239",4.003
"3240",3.354
"3241",3.359
"3242",3.313
"3243",3.748
"3244",4.252
"3245",3.244
"3246",4.491
"3247",4.97
"3248",4.654
"3249",4.877
"3250",4.32
"3251",4.25
"3252",3.445
"3253",3.796
"3254",3.651
"3255",4.756
"3256",4.72
"3257",4.859
"3258",4.683
"3259",4.802
"3260",2.994
"3261",2.97
"3262",2.947
"3263",3.001
"3264",3.594
"3265",4.333
"3266",4.567
"3267",4.438
"3268",3.757
"3269",4.352
"3270",4.559
"3271",5.044
"3272",4.453
"3273",3.841
"3274",3.873
"3275",4.255
"3276",5.095
"3277",4.915
"3278",4.76
"3279",4.771
"3284",3.847
"3285",3.737
"3286",3.758
"3287",3.932
"3288",4.215
"3289",4.105
"3290",3.54
"3291",1.787
"3292",4.042
"3293",4.621
"3294",4.481
"3295",4.681
"3296",4.736
"3297",2.682
"3298",1.575
"3299",1.855
"3300",3.616
"3301",4.403
"3302",5.383
"3303",4.594
"3304",4.539
"3305",4.834
"3306",4.164
"3307",2.916
"3308",4.098
"3309",4.568
"3310",4.18
"3311",4.046
"3312",2.453
"3313",4.111
"3314",4.656
"3315",4.938
"3316",5.28
"3317",5.348
"3318",4.556
"3319",4.622
"3320",4.309
"3321",3.728
"3322",3.392
"3323",3.593
"3324",4.348
"3325",3.255
"3326",3.911
"3327",4.43
"3328",4.197
"3329",4.162
"3330",4.679
"3331",4.198
"3332",4.241
"3333",4.553
"3334",4.456
"3335",3.771
"3336",3.813
"3337",4.545
"3338",4.403
"3339",4.844
"3340",4.723
"3341",4.97
"3342",3.938
"3343",2.405
"3344",3.444
"3345",3.879
"3346",4.668
"3347",4.73
"3348",4.558
"3349",3.81
"3350",2.929
"3351",3.646
"3352",3.644
"3353",4.535
"3354",4.394
"3355",4.057
"3356",4.059
"3357",4.501
"3358",4.938
"3359",5.009
"3360",5.109
"3361",5.407
"3366",4.027
"3367",3.611
"3368",3.506
"3369",3.621
"3370",4.244
"3371",4.628
"3372",3.706
"3373",1.264
"3374",2.501
"3375",4.142
"3376",3.342
"3377",1.902
"3378",4.28
"3379",3.799
"3380",1.101
"3381",1.082
"3382",2.648
"3383",4.452
"3384",5.326
"3385",4.969
"3386",4.929
"3387",4.781
"3388",2.403
"3389",0.121
"3390",3.397
"3391",4.332
"3392",4.315
"3393",4.37
"3394",4.02
"3395",4.223
"3396",4.281
"3397",4.57
"3398",5.165
"3399",5.292
"3400",5.16
"3401",3.998
"3402",3.174
"3403",3.857
"3404",3.897
"3405",4.287
"3406",4.948
"3407",5.213
"3408",5.28
"3409",5.374
"3410",4.325
"3411",3.93
"3412",3.841
"3413",4.089
"3414",4.559
"3415",5.355
"3416",4.774
"3417",4.176
"3418",4.253
"3419",4.523
"3420",4.071
"3421",4.376
"3422",4.647
"3423",4.864
"3424",4.604
"3425",4.093
"3426",3.849
"3427",4.562
"3428",4.306
"3429",4.438
"3430",4.659
"3431",3.823
"3432",3.433
"3433",0.491
"3434",3.109
"3435",4.131
"3436",4.268
"3437",4.713
"3438",4.198
"3439",4.441
"3440",4.732
"3441",4.622
"3442",4.767
"3443",4.645
"3448",4.025
"3449",3.567
"3450",3.121
"3451",4.12
"3452",4.594
"3453",4.637
"3454",4.392
"3455",4.291
"3456",3.28
"3457",2.344
"3458",0.456
"3459",0.895
"3460",2.058
"3461",3.709
"3462",3.5
"3463",3.521
"3464",4.232
"3465",4.536
"3466",5.044
"3467",4.712
"3468",4.62
"3469",4.527
"3470",2.326
"3471",1.475
"3472",3.497
"3473",3.75
"3474",4.563
"3475",4.593
"3476",4.318
"3477",4.703
"3478",4.468
"3479",4.469
"3480",5.02
"3481",4.32
"3482",4.946
"3483",3.922
"3484",2.675
"3485",4.666
"3486",4.409
"3487",3.906
"3488",4.714
"3489",5.517
"3490",5.433
"3491",4.954
"3492",4.27
"3493",4.412
"3494",3.482
"3495",3.988
"3496",5.121
"3497",5.483
"3498",5.012
"3499",4.493
"3500",4.358
"3501",4.171
"3502",3.483
"3503",3.919
"3504",4.88
"3505",5.365
"3506",2.578
"3507",4.682
"3508",3.853
"3509",3.959
"3510",4.227
"3511",4.491
"3512",4.561
"3513",3.537
"3514",2.922
"3515",3.667
"3516",3.616
"3517",4.037
"3518",4.241
"3519",4.497
"3520",4.55
"3521",4.639
"3522",4.783
"3523",3.237
"3524",4.354
"3525",4.79
"3530",3.824
"3531",3.63
"3532",3.768
"3533",4.448
"3534",4.347
"3535",4.457
"3536",4.641
"3537",4.307
"3538",3.021
"3539",2.628
"3540",3.364
"3541",3.854
"3542",3.687
"3543",4.011
"3544",4.209
"3545",4.632
"3546",4.862
"3547",4.988
"3548",4.997
"3549",4.785
"3550",4.473
"3551",4.794
"3552",3.472
"3553",2.17
"3554",1.999
"3555",1.908
"3556",3.328
"3557",4.913
"3558",4.958
"3559",4.772
"3560",4.512
"3561",4.085
"3562",3.246
"3563",3.858
"3564",4.694
"3565",3.928
"3566",2.687
"3567",5.274
"3568",4.767
"3569",3.853
"3570",3.753
"3571",5.208
"3572",5.23
"3573",5.126
"3574",4.661
"3575",3.785
"3576",3.436
"3577",4.26
"3578",4.889
"3579",5.13
"3580",4.778
"3581",4.427
"3582",4.003
"3583",3.553
"3584",3.542
"3585",3.626
"3586",3.99
"3587",4.884
"3588",5.104
"3589",4.989
"3590",3.529
"3591",3.328
"3592",3.414
"3593",4.125
"3594",4.135
"3595",2.906
"3596",1.636
"3597",3.844
"3598",3.058
"3599",3.765
"3600",4.467
"3601",4.434
"3602",4.806
"3603",5.015
"3604",3.565
"3605",3.266
"3606",3.175
"3607",3.929
"3612",3.828
"3613",3.709
"3614",3.716
"3615",1.647
"3616",4.201
"3617",4.427
"3618",4.884
"3619",4.284
"3620",2.815
"3621",2.376
"3622",3.308
"3623",2.612
"3624",3.967
"3625",4.258
"3626",4.729
"3627",5.303
"3628",4.861
"3629",4.52
"3630",4.611
"3631",2.147
"3632",4.056
"3633",3.26
"3634",3.152
"3635",4.039
"3636",2.059
"3637",0.331
"3638",2.826
"3639",4.669
"3640",4.475
"3641",4.526
"3642",4.233
"3643",3.944
"3644",4.014
"3645",4.974
"3646",5.928
"3647",5.272
"3648",5.249
"3649",5.439
"3650",4.681
"3651",3.849
"3652",3.664
"3653",5.255
"3654",5.141
"3655",4.798
"3656",4.646
"3657",4.572
"3658",3.405
"3659",3.473
"3660",5.23
"3661",4.747
"3662",4.725
"3663",4.408
"3664",3.863
"3665",3.921
"3666",4.106
"3667",3.949
"3668",3.846
"3669",4.547
"3670",4.86
"3671",4.48
"3672",4.138
"3673",2.806
"3674",0.66
"3675",2.835
"3676",4.134
"3677",3.826
"3678",4.602
"3679",4.116
"3680",3.89
"3681",4.013
"3682",4.18
"3683",4.079
"3684",4.505
"3685",4.821
"3686",1.234
"3687",3.571
"3688",4.258
"3689",3.381
"3694",4.486
"3695",4.401
"3696",4.173
"3697",3.782
"3698",4.124
"3699",4.085
"3700",4.411
"3701",4.672
"3702",3.237
"3703",2.433
"3704",1.922
"3705",1.191
"3706",2.551
"3707",4.431
"3708",4.665
"3709",4.757
"3710",4.478
"3711",4.255
"3712",2.817
"3713",2.476
"3714",3.898
"3715",3.611
"3716",4.075
"3717",5.754
"3718",6.244
"3719",4.063
"3720",5.649
"3721",4.603
"3722",4.52
"3723",4.328
"3724",3.776
"3725",4.18
"3726",4.283
"3727",4.604
"3728",5.487
"3729",5.619
"3730",1.684
"3731",5.322
"3732",4.65
"3733",4.284
"3734",4.379
"3735",4.038
"3736",5.069
"3737",4.775
"3738",4.269
"3739",4.447
"3740",4.591
"3741",3.387
"3742",4.318
"3743",4.654
"3744",4.479
"3745",4.372
"3746",3.946
"3747",4.652
"3748",4.481
"3749",3.384
"3750",4.019
"3751",4.631
"3752",4.624
"3753",4.293
"3754",4.192
"3755",4.042
"3756",3.666
"3757",3.767
"3758",3.355
"3759",4.308
"3760",4.414
"3761",4.23
"3762",4.275
"3763",4.181
"3764",3.695
"3765",4.174
"3766",4.561
"3767",4.497
"3768",4.129
"3769",4.653
"3770",4.397
"3771",4.712
"3776",4.792
"3777",1.225
"3778",4.871
"3779",4.247
"3780",4.49
"3781",3.235
"3782",3.61
"3783",3.86
"3784",4.461
"3785",4.265
"3786",4.343
"3787",4.106
"3788",0.707
"3789",5.076
"3790",4.547
"3791",4.473
"3792",5.011
"3793",4.16
"3794",3.021
"3795",0.63
"3796",3.207
"3797",5.784
"3798",8.603
"3799",10.025
"3800",9.367
"3801",8.77
"3802",7.344
"3803",4.543
"3804",4.497
"3805",4.332
"3806",4.459
"3807",4.561
"3808",4.568
"3809",4.017
"3810",3.835
"3811",4.988
"3812",5.496
"3813",5.239
"3814",4.435
"3815",3.091
"3816",1.898
"3817",0.221
"3818",4.48
"3819",4.375
"3820",3.857
"3821",5.093
"3822",5.106
"3823",4.295
"3824",3.524
"3825",3.62
"3826",3.984
"3827",4.279
"3828",4.661
"3829",4.797
"3830",4.65
"3831",3.135
"3832",3.72
"3833",4.348
"3834",4.414
"3835",4.242
"3836",4.01
"3837",3.847
"3838",3.42
"3839",3.282
"3840",3.723
"3841",4.435
"3842",4.637
"3843",4.395
"3844",4.28
"3845",4.162
"3846",3.383
"3847",3.205
"3848",3.572
"3849",4.595
"3850",4.498
"3851",4.573
"3852",4.836
"3853",5.014
"3858",4.819
"3859",4.7
"3860",4.964
"3861",4.503
"3862",4.138
"3863",3.576
"3864",3.599
"3865",1.078
"3866",4.513
"3867",4.85
"3868",4.401
"3869",4.137
"3870",4.159
"3871",4.612
"3872",4.446
"3873",3.759
"3874",3.648
"3875",3.867
"3876",2.097
"3877",0.385
"3878",2.457
"3879",5.52
"3880",10.167
"3881",10.698
"3882",10.629
"3883",7.559
"3884",4.019
"3885",4.329
"3886",4.705
"3887",4.803
"3888",5.191
"3889",4.933
