"","Z"
"597",4.499
"598",3.728
"599",3.208
"600",2.836
"601",2.088
"602",4.146
"603",4.11
"604",4.278
"605",4.031
"606",2.163
"607",3.63
"608",3.539
"609",4.292
"610",4.784
"611",3.959
"612",3.865
"613",4.125
"614",3.629
"615",3.882
"616",4.348
"617",4.514
"618",4.142
"619",4.024
"620",3.92
"621",3.759
"622",3.78
"623",4.592
"624",4.947
"625",5.09
"626",4.665
"627",4.355
"628",4.23
"629",3.246
"630",3.063
"631",1.736
"632",4.271
"633",3.901
"634",3.469
"635",2.896
"636",3.636
"637",5.201
"638",5.342
"639",5.437
"640",5.378
"641",5.153
"642",5.081
"643",5.307
"644",5.805
"645",6.386
"646",6.365
"647",6.391
"648",6.759
"649",6.676
"650",6.623
"651",4.95
"652",3.684
"653",2.987
"654",2.368
"655",3.325
"656",15.358
"661",3.239
"662",4.474
"663",4.822
"664",4.779
"665",4.775
"666",3.438
"667",0.517
"668",2.209
"669",4.361
"670",4.457
"671",4.158
"672",3.623
"673",2.833
"674",3.988
"675",3.636
"676",4.358
"677",3.708
"678",4.316
"679",4.61
"680",4.321
"681",3.742
"682",3.139
"683",4.045
"684",4.122
"685",4.135
"686",4.075
"687",4.402
"688",3.37
"689",2.641
"690",3.376
"691",4.76
"692",4.921
"693",4.757
"694",5.22
"695",4.775
"696",3.729
"697",3.308
"698",3.65
"699",3.787
"700",3.989
"701",4.001
"702",3.746
"703",3.869
"704",4.266
"705",4.017
"706",4.616
"707",4.972
"708",4.934
"709",4.331
"710",4.272
"711",3.206
"712",2.243
"713",2.054
"714",3.155
"715",3.054
"716",2.842
"717",2.458
"718",3.462
"719",4.271
"720",4.731
"721",5.273
"722",5.12
"723",4.813
"724",4.853
"725",4.527
"726",5.341
"727",5.705
"728",5.916
"729",6.418
"730",6.781
"731",6.792
"732",6.665
"733",5.777
"734",4.276
"735",2.22
"736",2.712
"737",3.138
"738",13.732
"743",1.104
"744",3.445
"745",4.509
"746",4.294
"747",4.647
"748",3.924
"749",2.038
"750",2.872
"751",3.709
"752",3.455
"753",3.99
"754",4.522
"755",4.086
"756",3.307
"757",1.407
"758",0.589
"759",1.434
"760",3.989
"761",5.008
"762",4.864
"763",5.036
"764",3.906
"765",4.059
"766",4.436
"767",4.647
"768",4.216
"769",4.102
"770",3.551
"771",2.727
"772",3.135
"773",4.635
"774",5.126
"775",5.108
"776",5.172
"777",4.704
"778",3.426
"779",2.263
"780",2.746
"781",3.327
"782",3.72
"783",4.446
"784",4.206
"785",3.086
"786",3.438
"787",3.934
"788",4.353
"789",4.739
"790",4.694
"791",4.294
"792",4.682
"793",4.348
"794",4.373
"795",4.226
"796",2.072
"797",1.956
"798",1.809
"799",1.844
"800",1.805
"801",2.449
"802",4.103
"803",4.83
"804",5.045
"805",4.402
"806",4.994
"807",4.606
"808",4.774
"809",4.961
"810",5.699
"811",5.723
"812",6.051
"813",6.183
"814",6.708
"815",5.63
"816",2.945
"817",5.163
"818",3.056
"819",2.926
"820",12.106
"825",0.14
"826",1.98
"827",2.737
"828",3.736
"829",4.07
"830",3.629
"831",3.845
"832",3.14
"833",3.37
"834",4.319
"835",4.973
"836",4.629
"837",4.495
"838",3.763
"839",3.014
"840",0.801
"841",2.089
"842",3.906
"843",5.035
"844",5.236
"845",5.378
"846",5.08
"847",4.817
"848",3.936
"849",2.8
"850",1.262
"851",3.524
"852",4.898
"853",4.523
"854",2.904
"855",3.124
"856",4.791
"857",5.098
"858",5.022
"859",4.517
"860",4.28
"861",2.985
"862",2.859
"863",2.803
"864",3.594
"865",4.247
"866",4.28
"867",4.145
"868",4.24
"869",4.337
"870",4.058
"871",3.794
"872",3.92
"873",4.445
"874",4.939
"875",4.884
"876",4.492
"877",3.486
"878",1.031
"879",0.889
"880",0.567
"881",0.305
"882",0.351
"883",0.108
"884",3.815
"885",4.826
"886",4.727
"887",4.287
"888",4.713
"889",5.035
"890",4.354
"891",4.337
"892",5.419
"893",5.442
"894",5.715
"895",5.976
"896",6.073
"897",5.625
"898",4.691
"899",1.776
"900",2.57
"901",4.548
"902",10.48
"907",1.405
"908",0.669
"909",1.864
"910",3.143
"911",4.292
"912",4.175
"913",4.453
"914",4.357
"915",3.863
"916",4.588
"917",4.771
"918",4.585
"919",4.251
"920",3.789
"921",3.179
"922",2.011
